Row,Class,Block,V2 Length,V2 Width,V2 Area,V3 Length,V3 Width,V3 Area,V4 Length,V4 Width,V4 Area,V5 Length,V5 Width,V5 Area,V6 Length,V6 Width,V6 Area,V7 Length,V7 Width,V7 Area,V8 Length,V8 Width,V8 Area,V9 Length,V9 Width,V9 Area,V10 Length,V10 Width,V10 Area,V11 Length,V11 Width,V11 Area,V12 Length,V12 Width,V12 Area,V13 Length,V13 Width,V13 Area,V14 Length,V14 Width,V14 Area,V15 Length,V15 Width,V15 Area,V16 Length,V16 Width,V16 Area,V17 Length,V17 Width,V17 Area,V18 Length,V18 Width,V18 Area,V19 Length,V19 Width,V19 Area,V20 Length,V20 Width,V20 Area
AS23-0896.05,rdla,Block 3,11.2,1.3,10.92,16.4,1.9,23.37,25,2.5,46.875,30,3.3,74.25,38.8,3.5,101.85,41.2,4,123.6,50.9,4.5,171.7875,58.1,5.4,235.305,64.9,5.7,277.4475,64.5,7.4,316.95,58.7,8.4,350.88,79.4,8.3,372.23,71.4,8.8,430.15,70.4,9.4,417.13,66.8,9.4,421.06,61.2,8.4,400.32,59.3,8.2,363.64,49,7.2,289.37,52.2,6.3,224.19
AS23-0896.06,rdla,Block 3,11.8,1.4,12.39,16.6,1.9,23.655,25.2,2.7,51.03,30.7,3.1,71.3775,34.8,3.5,91.35,38.4,3.7,106.56,46.6,4.3,150.285,53.6,4.9,196.98,61.5,5.5,253.6875,47.3,7.2,217.18,62.8,7.5,339.11,73.1,8.6,412.11,73.2,9.2,441.41,67.6,9.2,412.92,67.5,8.8,431.23,61.4,8.5,396.08,60.1,8.4,349.51,53.2,7.2,296.59,46.5,6.2,219.21
AS23-0896.09,rdla,Block 3,11.6,1.3,11.31,16.2,1.8,21.87,23.1,2.5,43.3125,31.6,3.2,75.84,36.6,3.5,96.075,40.7,4.1,125.1525,44.4,4.6,153.18,49.5,5.2,193.05,50.6,5.8,220.11,50.1,7,231.61,55.8,7.6,265.2,60.2,8.4,343.4,67,7.8,345.97,66.4,8.3,378.46,59.6,9.1,352.41,56,7.4,278.77,55.5,8.2,331.69,55.7,7.6,318.69,49.6,6.4,240.33
AS23-0896.10,rdla,Block 3,11.5,1.4,12.075,15.6,1.7,19.89,22,2.4,39.6,28.7,2.9,62.4225,32.4,3.4,82.62,34.8,3.8,99.18,46,4.3,148.35,44.2,4.5,149.175,50.8,5,190.5,54.8,7.5,250.67,59.1,7.6,287.67,59.8,7.1,293.97,65.3,7.6,331.26,58.2,8.2,315.13,58.7,8.2,330.65,51.2,8.5,301.99,55.9,6.4,256.32,53.7,7.1,273.25,45.5,6.1,195.36
AS23-0896.11,rdla,Block 3,11.9,1.3,11.6025,16.6,1.9,23.655,21.8,2.6,42.51,28.7,3,64.575,34.6,3.3,85.635,37,3.9,108.225,44.7,4.3,144.1575,49,4.7,172.725,60.6,4.7,213.615,57.8,7.4,276.36,62.6,8.5,357.58,65.4,8.1,384.52,70.5,9.3,444.01,67.6,9.8,431.96,57.7,9,410.91,66.8,8.3,387.19,57.4,8,347.65,57.3,6.9,293.94,46.1,5,153.9
AS23-0896.12,rdla,Block 3,12.6,1.4,13.23,17.4,1.9,24.795,25.7,2.7,52.0425,30,3.3,74.25,36.2,3.4,92.31,41.7,4.1,128.2275,49.2,4.7,173.43,51.5,4.8,185.4,59.5,5.3,236.5125,56.3,7.4,266.29,76.2,6.1,328.98,65.2,8.3,369.3,69.3,7.6,344.88,65.1,9.5,400.13,136.4,9.3,391.23,62.1,8.3,359.89,57.6,8,331.68,53.1,7.2,290.9,46.7,6.4,223.81
AS23-0896.13,rdla,Block 3,11.2,1.2,10.08,16.2,1.8,21.87,26.3,2.8,55.23,29.3,2.9,63.7275,34.2,3.4,87.21,40.3,3.9,117.8775,47.1,4.3,151.8975,52,5.2,202.8,59,5.5,243.375,60.9,6.9,277.81,59.3,6.4,252.13,64.8,7.4,336.47,64.6,8.1,324.03,68.1,9.3,421.86,57.5,9.4,342.56,62.3,8.7,400.09,56,7.7,327.48,53.9,7.1,280.66,52.2,6.1,210.91
AS23-0896.16,rdla,Block 3,12.1,1.5,13.6125,17,2,25.5,22.8,2.7,46.17,33,3.3,81.675,38.1,3.6,102.87,45,3.9,131.625,50.4,4.8,181.44,61,5.5,251.625,65.6,6.4,314.88,62.9,8.5,350.64,56.7,7.3,301.39,65.7,8.8,418.64,71.4,10.1,490.12,150.5,10.7,529.09,67.3,9,429.94,63,7.6,310.43,62.4,7.8,375.26,55.8,7.2,311.81,49.9,6.2,236.11
AS23-0897.02,WT,Block 3,10.7,1.4,11.235,15.3,2,22.95,23.4,2.8,49.14,33.2,3.2,79.68,40.7,3.6,109.89,42,4.5,141.75,52.6,5.3,209.085,56.8,5.7,242.82,62,6.5,302.25,60.5,7.7,323.54,68.1,8.3,410.64,74.9,9.2,478.99,79.2,10.4,527.55,79.9,10,584.55,80.7,10.1,589.45,74.4,9.5,545.22,62.7,8.7,430.14,53.7,7.5,326.32,42.7,6,186.76
AS23-0897.03,WT,Block 3,10.3,1.5,11.5875,14.5,2.2,23.925,21.2,2.6,41.34,31.6,3.3,78.21,39.4,3.6,106.38,42.9,4.2,135.135,47,5.1,179.775,56.3,5.9,249.1275,66.8,6.3,315.63,66.8,7.4,359.38,70,8.4,414.25,66.9,8.6,453.51,77.5,12.1,556.49,77.5,10.3,521.09,69.5,9.9,515.48,65,9.3,461.51,58.8,8.5,378.1,56,7.9,330.57,49.3,6.9,257.67
